Comment,Designator,Footprint,LCSC
100n,C9,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
33V,D30,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
INA260,U22,TSSOP-16_4.4x5mm_P0.65mm,
Thermocouple_Alt,TC6,JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical,
10k,R49,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
275,R9,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
33u,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
SD36_SOD323,D18,D_SOD-323_HandSoldering,
Conn_01x04,J26,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
74LS06,U6,SOIC-14_3.9x8.7mm_P1.27mm,
1k,R26,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
0.1u,C54,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_01x04,J10,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
2k,R84,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Conn_ST_STDC14,J7,PinHeader_2x07_P1.27mm_Vertical_SMD,
1nF,C45,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
BTS6143D,U29,TO-252-4,
Conn_01x04,J12,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,
1nF,C42,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0.1u,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
33V,D3,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
825,R19,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100n,C26,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
5V,D33,SOT-23_Handsoldering,
1.1k,R16,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
10k,R57,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
74LS06,U28,SOIC-14_3.9x8.7mm_P1.27mm,
275,R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1k,R70,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
5V,D9,SOT-23_Handsoldering,
5V,D5,SOT-23_Handsoldering,
1uF,C51,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1k,R30,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
Fuse,F2,3557-2,
1u,C47,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
10k,R13,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
100k,R73,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
LED,D23,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
1nF,C46,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
LED,D4,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
100n,C14,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
33V,D32,D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
2k,R79,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
1nF,C44,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
